conversation_id,user_id,last_read_at,joined_at
2e2ac78a-cbaa-41d6-ac4b-94c0ede7845b,e5bdd96e-7b1e-4848-80e0-3ed50943662f,1970-01-01 00:00:00+00,2026-07-08 08:48:45.448225+00
0040492a-e263-4e28-85ed-3f0a7267b93a,7fd569de-c6c5-4040-8758-9c88767bcaec,1970-01-01 00:00:00+00,2026-07-08 09:12:45.994096+00
0040492a-e263-4e28-85ed-3f0a7267b93a,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-09 04:04:43.537+00,2026-07-08 09:12:45.994096+00
b261cb40-be1f-4cb5-94ac-eff02def38ad,3e4602f3-a947-4fe0-81c3-bf16bf3a5da7,1970-01-01 00:00:00+00,2026-07-10 09:22:31.494762+00
b261cb40-be1f-4cb5-94ac-eff02def38ad,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-10 09:22:31.801+00,2026-07-10 09:22:31.494762+00
2e2ac78a-cbaa-41d6-ac4b-94c0ede7845b,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-10 23:36:35.039+00,2026-07-08 08:48:45.448225+00
