id,du_an_id,parent_id,so_cong_van,loai,trich_yeu,co_quan_ban_hanh,co_quan_nhan,ngay_ban_hanh,ngay_tiep_nhan,han_phuc_dap,trang_thai,can_cu_text,ghi_chu,nguoi_tao_id,attrs,created_at,updated_at,idempotency_key
d131c18c-6beb-4ed3-8b89-77f88fdf73cc,3814d66f-5c11-48f5-a396-feed48f22ab2,,2125/QLBMT-KT,di,Văn bản cập nhật ý kiến bổ sung ,Công ty QLBMT,Ban Kỹ thuật,2026-06-08,2026-06-08,,hoan_tat,,,8a45a82a-3774-4a22-b93c-1c9a2ab9c9dc,{},2026-08-16 14:32:58.670401+00,2026-08-16 14:32:58.670401+00,
d1137b6b-86d1-483c-8972-3c079d225042,3814d66f-5c11-48f5-a396-feed48f22ab2,,699/KT,den,Thông báo kết quả tuyển chọn thực hiện nhiệm vụ ,Ban Kỹ thuật,Công ty ,2026-05-18,2026-05-18,2026-06-08,hoan_tat,,,8a45a82a-3774-4a22-b93c-1c9a2ab9c9dc,{},2026-08-16 14:31:56.317704+00,2026-08-16 14:33:40.901593+00,
6edea598-6eec-404d-af7e-b8fba23470f9,3814d66f-5c11-48f5-a396-feed48f22ab2,,853/QLBMT-KT,di,"Đơn đăng ký, thuyết minh, cam kết, dự toán, lý lịch",Công ty QLBMT,Ban Kỹ thuật,2026-03-16,2026-03-16,,hoan_tat,,,8a45a82a-3774-4a22-b93c-1c9a2ab9c9dc,{},2026-08-16 14:27:01.144423+00,2026-08-16 14:34:01.385966+00,
f886af29-512c-43d7-aa65-28fb7da725ac,3814d66f-5c11-48f5-a396-feed48f22ab2,,3051/QLBMT-KT,di, Cập nhật dự toán kinh phí,Công ty QLBMT,"Các Ban Kỹ thuật, Tài chính, KH&ĐT",2026-09-07,2026-08-07,,hoan_tat,,,8a45a82a-3774-4a22-b93c-1c9a2ab9c9dc,{},2026-08-16 14:35:57.583224+00,2026-08-16 14:35:57.583224+00,
