id,ma,ten,mo_ta,thu_tu,active,created_at,updated_at,parent_id,merged_into,deactivated_at
5be98ba1-d22c-4739-aa55-9c8815e26c7c,TWR_DAI_KSKL_CHU_LAI,TWR CLA,,43,t,2026-07-11 07:09:10.390787+00,2026-07-13 06:40:30.60346+00,e09ea1ad-7105-48b0-a310-ee6d46d4f484,,
79845fbe-3dd4-42f8-8219-07b7917684d8,VT_DP_PHU_CAT,Phù Cát,,6,t,2026-07-12 05:24:31.091271+00,2026-07-13 03:49:01.75066+00,,,
92c6b459-8433-4c92-87b6-f676710a6def,VT_DP_PLEIKU,Pleiku,,7,t,2026-07-12 05:24:31.091271+00,2026-07-13 03:49:01.858809+00,,,
b9920a9e-70f1-4d4b-9eab-ec2e89eaf29b,VT_DP_QUY_NHON,Quy Nhơn,,8,t,2026-07-12 05:24:31.091271+00,2026-07-13 03:49:01.965905+00,,,
92aa329a-4ad2-4bf1-b2fe-c33ff194335c,VT_CRA_TRAM_KHI_TUONG,Trạm khí tượng,Đơn vị CRA,23,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:49:02.070469+00,818c5780-b1b6-4106-b60d-21c1ae6fa855,,
c7122de2-902a-46b3-854d-12feb6f43716,VT_CRA_PHONG_KHI_TUONG,Phòng khí tượng,Đơn vị CRA,24,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:49:02.179445+00,818c5780-b1b6-4106-b60d-21c1ae6fa855,,
2b0a43bb-0add-4ef6-8830-898890900c6d,VT_CRA_2023,2023,Đơn vị CRA,25,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:49:02.283943+00,818c5780-b1b6-4106-b60d-21c1ae6fa855,,
86ab1273-d507-4143-8f2d-b2e86dd8cf01,PTB_DAI_KSKL_CHU_LAI,Phòng thiết bị CLA,,42,t,2026-07-11 07:09:10.251897+00,2026-07-13 03:49:02.938544+00,e09ea1ad-7105-48b0-a310-ee6d46d4f484,,
3b1c9f72-6395-4ad0-a387-c7630195267a,P_TBTT,Phòng thiết bị Khí tượng,,70,t,2026-07-11 07:09:23.283964+00,2026-07-13 03:49:03.14746+00,075d84d6-5e31-4b37-831d-aa89a9f72933,,
9a6b88fa-8dcb-422b-9b9e-a029e372a564,PHONG_MET_DAI_KSKL_CHU_LAI,Phòng MET CLA,,46,t,2026-07-11 07:09:10.667744+00,2026-07-13 06:40:44.990767+00,e09ea1ad-7105-48b0-a310-ee6d46d4f484,,
