id,kind,ten,created_by,last_message_at,created_at
0040492a-e263-4e28-85ed-3f0a7267b93a,dm,,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-08 09:24:47.294244+00,2026-07-08 09:12:45.856571+00
2e2ac78a-cbaa-41d6-ac4b-94c0ede7845b,dm,,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-08 09:34:43.696282+00,2026-07-08 08:48:45.268644+00
b261cb40-be1f-4cb5-94ac-eff02def38ad,dm,,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-10 09:22:34.265254+00,2026-07-10 09:22:31.332454+00
