id,ma,ten,mo_ta,don_vi_id,nguoi_tao_id,quan_ly_id,ngay_bat_dau,ngay_ket_thuc_du_kien,trang_thai,tien_do,created_at,updated_at,attrs
3a9ee990-61e5-4550-a4dc-4b25f09cd2c0,a,radar thời tiết,ấd,,201c530d-d2f1-4683-a888-5e42b77a95c6,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-08,2026-07-12,moi,0,2026-07-08 07:28:55.592729+00,2026-07-08 07:28:55.592729+00,{}
3814d66f-5c11-48f5-a396-feed48f22ab2,KHCN2025-16,TCCS Camera giám sát,Nghiên cứu xây dựng Tiêu chuẩn cơ sở Hệ thống camera giám sát tại các cơ sở bảo đảm hoạt động bay - Tiêu chuẩn kỹ thuật,,8a45a82a-3774-4a22-b93c-1c9a2ab9c9dc,8a45a82a-3774-4a22-b93c-1c9a2ab9c9dc,,,moi,56,2026-08-16 14:25:27.513855+00,2026-08-31 12:46:20.382217+00,{}
