role,module,action,allowed,updated_at,updated_by
phong_kt,he_thong,approve,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,he_thong,approve,t,2026-07-14 08:18:51.879439+00,
ktv,he_thong,approve,f,2026-07-14 08:18:51.879439+00,
readonly,he_thong,approve,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,he_thong,approve,t,2026-07-14 08:18:51.879439+00,
to_truong,he_thong,approve,f,2026-07-14 08:18:51.879439+00,
admin,he_thong,export,t,2026-07-14 08:18:51.879439+00,
phong_kt,he_thong,export,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,he_thong,export,t,2026-07-14 08:18:51.879439+00,
ktv,he_thong,export,f,2026-07-14 08:18:51.879439+00,
readonly,he_thong,export,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,he_thong,export,t,2026-07-14 08:18:51.879439+00,
to_truong,he_thong,export,t,2026-07-14 08:18:51.879439+00,
admin,he_thong,import,t,2026-07-14 08:18:51.879439+00,
phong_kt,he_thong,import,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,he_thong,import,f,2026-07-14 08:18:51.879439+00,
ktv,he_thong,import,f,2026-07-14 08:18:51.879439+00,
readonly,he_thong,import,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,he_thong,import,f,2026-07-14 08:18:51.879439+00,
to_truong,he_thong,import,f,2026-07-14 08:18:51.879439+00,
admin,su_co,view,t,2026-07-14 08:18:51.879439+00,
phong_kt,su_co,view,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,su_co,view,t,2026-07-14 08:18:51.879439+00,
ktv,su_co,view,t,2026-07-14 08:18:51.879439+00,
readonly,su_co,view,t,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,su_co,view,f,2026-07-14 08:18:51.879439+00,
to_truong,su_co,view,t,2026-07-14 08:18:51.879439+00,
admin,su_co,create,t,2026-07-14 08:18:51.879439+00,
phong_kt,su_co,create,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,su_co,create,t,2026-07-14 08:18:51.879439+00,
ktv,su_co,create,t,2026-07-14 08:18:51.879439+00,
readonly,su_co,create,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,su_co,create,f,2026-07-14 08:18:51.879439+00,
to_truong,su_co,create,t,2026-07-14 08:18:51.879439+00,
admin,su_co,edit,t,2026-07-14 08:18:51.879439+00,
phong_kt,su_co,edit,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,su_co,edit,t,2026-07-14 08:18:51.879439+00,
ktv,su_co,edit,t,2026-07-14 08:18:51.879439+00,
readonly,su_co,edit,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,su_co,edit,f,2026-07-14 08:18:51.879439+00,
to_truong,su_co,edit,t,2026-07-14 08:18:51.879439+00,
admin,su_co,delete,t,2026-07-14 08:18:51.879439+00,
phong_kt,su_co,delete,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,su_co,delete,f,2026-07-14 08:18:51.879439+00,
ktv,su_co,delete,f,2026-07-14 08:18:51.879439+00,
readonly,su_co,delete,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,su_co,delete,f,2026-07-14 08:18:51.879439+00,
to_truong,su_co,delete,f,2026-07-14 08:18:51.879439+00,
admin,su_co,approve,t,2026-07-14 08:18:51.879439+00,
phong_kt,su_co,approve,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,su_co,approve,t,2026-07-14 08:18:51.879439+00,
ktv,su_co,approve,f,2026-07-14 08:18:51.879439+00,
readonly,su_co,approve,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,su_co,approve,f,2026-07-14 08:18:51.879439+00,
to_truong,su_co,approve,f,2026-07-14 08:18:51.879439+00,
admin,su_co,export,t,2026-07-14 08:18:51.879439+00,
phong_kt,su_co,export,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,su_co,export,t,2026-07-14 08:18:51.879439+00,
ktv,su_co,export,f,2026-07-14 08:18:51.879439+00,
readonly,su_co,export,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,su_co,export,f,2026-07-14 08:18:51.879439+00,
to_truong,su_co,export,t,2026-07-14 08:18:51.879439+00,
admin,su_co,import,t,2026-07-14 08:18:51.879439+00,
phong_kt,su_co,import,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,su_co,import,f,2026-07-14 08:18:51.879439+00,
