id,ma,ten,mo_ta,thu_tu,active,created_at,updated_at,merged_into,deactivated_at
9beb6818-77ba-4f59-9999-3f75de91abf0,LGP-KT,Giấy phép khai thác,,1,t,2026-07-08 16:43:12.324667+00,2026-07-08 16:43:12.324667+00,,
8903a14e-93b1-4f17-999f-1c7c4e403587,LGP-TS,Giấy phép tần số,,2,t,2026-07-08 16:43:12.47526+00,2026-07-08 16:43:12.47526+00,,
