id,ma,ten,mo_ta,thu_tu,active,created_at,updated_at,merged_into,deactivated_at
7cde6563-24dc-4f89-acdf-76e239caa2ae,N2,Nhóm 2,,2,t,2026-07-11 07:08:59.710473+00,2026-07-13 03:48:47.097766+00,,
85aca6d1-3b86-4e43-a65b-9b92ab31e0e6,N3,Nhóm 3,,3,t,2026-07-11 07:08:59.84773+00,2026-07-13 03:48:47.206105+00,,
f024c88e-8702-49c8-a302-15b93f6acb3c,N1,Nhóm 1,,1,t,2026-07-11 07:08:59.573075+00,2026-07-13 09:18:27.645091+00,,
