id,ma_thiet_bi,ten_thiet_bi,loai_thiet_bi_id,ma_serial,model,nha_san_xuat,ngay_mua,he_thong_id,nhom_he_thong_id,nha_cung_cap,han_bao_hanh,trang_thai_id,don_vi_quan_ly_id,vi_tri,ghi_chu,file_tai_lieu,hinh_anh,qr_code,created_by,created_at,updated_at,nha_san_xuat_id,nha_cung_cap_id,vi_tri_id,thanh_phan,p_n,nam_san_xuat,nam_dua_vao_khai_thac,don_vi_id,danh_gia_nien_han_id,phan_loai,noi_quan_ly,giay_phep_khai_thac,giay_phep_tan_so,so_nam_su_dung,ty_le_tuoi_tho,vat_tu_du_phong,thong_ke_hong_hoc,de_xuat_phuong_an,de_xuat_tiep_tuc,de_xuat_khac,thoi_diem_dieu_chuyen,noi_chuyen_di,noi_chuyen_den,ly_do_dieu_chuyen,thoi_diem_cham_dut,quyet_dinh_cham_dut,noi_cat_giu,do_tin_cay,nguon_du_lieu,ma_tai_san_bravo,nguoi_giu,don_vi_giu_id,ngay_cap_phat,trang_thai_cap_phat,ngay_kiem_ke_ke_tiep,phan_loai_id,ngay_bao_tri_gan_nhat,ngay_bao_tri_ke_tiep,tinh_trang_ky_thuat,la_linh_kien,ma_thiet_bi_cu,model_id,attrs,che_do_kd_hc,field_set_id
f3cbfed7-f17e-46c5-847b-6d35ca7664ba,TB_1NTFG1E9,Máy biến tăng áp khô 3 pha 20KVA 400/950V,accf1740-4c18-4b9a-895f-59d85ba593b5,,Máy biến tăng áp khô 3 pha 20KVA 400/950V,Augier,,7f40beb2-5d47-4f4a-b7df-35cd1cca56ae,d7faf284-1a3a-4e53-9433-8476900a66e7,,,1ce915ed-07e9-4b65-9209-2652ffd9b681,e43c5d4b-3c3c-4486-89da-73e9ac747ab4,Phòng MP Đài KSKL TUY HÒA,"Ra soat 2026-07-11, file nguon: THA_DAW21",,,,,2026-07-11 09:50:09.894644+00,2026-07-17 01:20:13.233503+00,494923ea-f1cf-410b-9804-3d21208ced5e,,e96be350-6615-441a-91f5-53ad976e91b3,AWOS D-AW21,PTS95-25KA,,,e43c5d4b-3c3c-4486-89da-73e9ac747ab4,,Thiết bị nguồn,THA,,,,,,,,,,,,,,,,,,,,,,,san_sang,,f024c88e-8702-49c8-a302-15b93f6acb3c,,,,f,TB_THA_084,7feff42e-d536-433b-8590-cff4aad1f8bc,{},KHONG,
2ceaad9d-2798-4f3c-8060-160b5ab9d5d2,TB_7SA8H12Z,Tủ trạm hạ áp,,,Tủ trạm hạ áp,,,7f40beb2-5d47-4f4a-b7df-35cd1cca56ae,d7faf284-1a3a-4e53-9433-8476900a66e7,,,1ce915ed-07e9-4b65-9209-2652ffd9b681,e43c5d4b-3c3c-4486-89da-73e9ac747ab4,"Trạm khí tượng giữa, trạm khí tượng 03, trạm khí tượng 21","Ra soat 2026-07-11, file nguon: THA_DAW21",,,,,2026-07-11 09:50:09.894644+00,2026-07-17 01:20:13.233503+00,,,e96be350-6615-441a-91f5-53ad976e91b3,AWOS D-AW21,,,,e43c5d4b-3c3c-4486-89da-73e9ac747ab4,,,THA,,,,,,,,,,,,,,,,,,,,,,,san_sang,,f024c88e-8702-49c8-a302-15b93f6acb3c,,,,f,TB_THA_086,8c8c55f3-880b-4f1a-a70d-ef42afec00e2,{},KHONG,
b5219f5f-0cea-43d6-a51c-abe63c32cccc,TB_ZJG4ZCAV,Máy biến hạ áp 1 pha TER Transformers 5KVA 950/230V,accf1740-4c18-4b9a-895f-59d85ba593b5,,Máy biến hạ áp 1 pha TER Transformers 5KVA 950/230V,Augier,,7f40beb2-5d47-4f4a-b7df-35cd1cca56ae,d7faf284-1a3a-4e53-9433-8476900a66e7,,,1ce915ed-07e9-4b65-9209-2652ffd9b681,e43c5d4b-3c3c-4486-89da-73e9ac747ab4,"Trạm khí tượng giữa, trạm khí tượng 03, trạm khí tượng 21","Ra soat 2026-07-11, file nguon: THA_DAW21",,,,,2026-07-11 09:50:09.894644+00,2026-07-17 01:20:13.233503+00,494923ea-f1cf-410b-9804-3d21208ced5e,,e96be350-6615-441a-91f5-53ad976e91b3,AWOS D-AW21,TER MT-5KVA,,,e43c5d4b-3c3c-4486-89da-73e9ac747ab4,,Thiết bị nguồn,THA,,,,,,,,,,,,,,,,,,,,,,,san_sang,,f024c88e-8702-49c8-a302-15b93f6acb3c,,,,f,TB_THA_087,8b55f2fd-33a2-4827-84db-19306151c4b6,{},KHONG,
4a54e57c-fd71-47b0-be14-931957d55aaf,TB_W1H8NN70,Cảm biến nhiệt độ,98c88d39-bf0f-43c7-83a2-ca5d266ba54f,1020455,Cảm biến nhiệt độ,NESA,,7f40beb2-5d47-4f4a-b7df-35cd1cca56ae,d7faf284-1a3a-4e53-9433-8476900a66e7,,,1ce915ed-07e9-4b65-9209-2652ffd9b681,e43c5d4b-3c3c-4486-89da-73e9ac747ab4,Kho VTDP -  Đài KSKL TUY HÒA,"Ra soat 2026-07-11, file nguon: THA_DAW21",,,,,2026-07-11 09:50:09.894644+00,2026-07-17 01:20:13.233503+00,54f5eb32-6a74-4b21-aae3-46cc63e2271b,,e96be350-6615-441a-91f5-53ad976e91b3,AWOS D-AW21,TA-C,,,e43c5d4b-3c3c-4486-89da-73e9ac747ab4,,Cảm biến,THA,,,,,,,,,,,,,,,,,,,,,,,san_sang,,f024c88e-8702-49c8-a302-15b93f6acb3c,,,,f,TB_THA_091,bc45a565-366f-4f7f-8c35-15d3b3871582,{},KHONG,
a9d023c4-0e00-4435-8000-fd9e7cac3050,TB_FQC0CZTJ,Cảm biến độ ẩm,98c88d39-bf0f-43c7-83a2-ca5d266ba54f,1020457,Cảm biến độ ẩm,NESA,,7f40beb2-5d47-4f4a-b7df-35cd1cca56ae,d7faf284-1a3a-4e53-9433-8476900a66e7,,,1ce915ed-07e9-4b65-9209-2652ffd9b681,e43c5d4b-3c3c-4486-89da-73e9ac747ab4,Kho VTDP -  Đài KSKL TUY HÒA,"Ra soat 2026-07-11, file nguon: THA_DAW21",,,,,2026-07-11 09:50:09.894644+00,2026-07-17 01:20:13.233503+00,54f5eb32-6a74-4b21-aae3-46cc63e2271b,,e96be350-6615-441a-91f5-53ad976e91b3,AWOS D-AW21,UR-C,,,e43c5d4b-3c3c-4486-89da-73e9ac747ab4,,Cảm biến,THA,,,,,,,,,,,,,,,,,,,,,,,san_sang,,f024c88e-8702-49c8-a302-15b93f6acb3c,,,,f,TB_THA_092,68846d95-ef16-44f9-8643-3676096fe12b,{},KHONG,
16bed946-8dbe-433c-93de-43adb40c16cc,TB_1ESVSE5H,Cảm biến áp suất,98c88d39-bf0f-43c7-83a2-ca5d266ba54f,1020135,Cảm biến áp suất,NESA,,7f40beb2-5d47-4f4a-b7df-35cd1cca56ae,d7faf284-1a3a-4e53-9433-8476900a66e7,,,1ce915ed-07e9-4b65-9209-2652ffd9b681,e43c5d4b-3c3c-4486-89da-73e9ac747ab4,Kho VTDP -  Đài KSKL TUY HÒA,"Ra soat 2026-07-11, file nguon: THA_DAW21",,,,,2026-07-11 09:50:09.894644+00,2026-07-17 01:20:13.233503+00,54f5eb32-6a74-4b21-aae3-46cc63e2271b,,e96be350-6615-441a-91f5-53ad976e91b3,AWOS D-AW21,BAR-AV-S,,,e43c5d4b-3c3c-4486-89da-73e9ac747ab4,,Cảm biến,THA,,,,,,,,,,,,,,,,,,,,,,,san_sang,,f024c88e-8702-49c8-a302-15b93f6acb3c,,,,f,TB_THA_093,202b1373-9caf-486b-af3b-5c609c444866,{},KHONG,
c264d9a9-0aaa-423a-892b-2ae5a0660f4e,TB_KPK59Q5B,Cảm biến đo hướng và đo tốc độ gió,98c88d39-bf0f-43c7-83a2-ca5d266ba54f,2302009,Cảm biến đo hướng và đo tốc độ gió,Gill,,7f40beb2-5d47-4f4a-b7df-35cd1cca56ae,d7faf284-1a3a-4e53-9433-8476900a66e7,,,1ce915ed-07e9-4b65-9209-2652ffd9b681,e43c5d4b-3c3c-4486-89da-73e9ac747ab4,Trạm khí tượng giữa (cột AW11),"Ra soat 2026-07-11, file nguon: THA_DAW21",,,,,2026-07-11 09:50:09.894644+00,2026-07-17 01:20:13.233503+00,8a078690-3935-478c-9d8c-92ed4818430f,,e96be350-6615-441a-91f5-53ad976e91b3,THIẾT BỊ QUAN TRẮC THÔNG DỤNG,Observer90,,,e43c5d4b-3c3c-4486-89da-73e9ac747ab4,,Cảm biến,THA,,,,,,,,,,,,,,,,,,,,,,,san_sang,,f024c88e-8702-49c8-a302-15b93f6acb3c,,,,f,TB_THA_096,e7d3e4a0-1cdf-48d0-9a67-67d43ffc52af,{},KHONG,
f6b90913-4e1e-4fd4-90de-0a1b533a1d98,TB_3C007NYX,Datalogger,ae03f513-6763-46f8-913d-91a103966947,1020464,Data logger,NESA,,7f40beb2-5d47-4f4a-b7df-35cd1cca56ae,d7faf284-1a3a-4e53-9433-8476900a66e7,,,1ce915ed-07e9-4b65-9209-2652ffd9b681,e43c5d4b-3c3c-4486-89da-73e9ac747ab4,Kho VTDP -  Đài KSKL TUY HÒA,"Ra soat 2026-07-11, file nguon: THA_DAW21",,,,,2026-07-11 09:50:09.894644+00,2026-07-17 01:20:13.233503+00,54f5eb32-6a74-4b21-aae3-46cc63e2271b,,e96be350-6615-441a-91f5-53ad976e91b3,AWOS D-AW21,Evolution,,,e43c5d4b-3c3c-4486-89da-73e9ac747ab4,,Thiết bị thu thập dữ liệu,THA,,,,,,,,,,,,,,,,,,,,,,,san_sang,,f024c88e-8702-49c8-a302-15b93f6acb3c,,,,f,TB_THA_094,c3f93d31-e4ab-4593-8f05-a96833fe46f5,{},KHONG,
a224920f-7bfb-4aa7-ae00-fcd3e58106d6,TB_ECX8QY7W,Thiết bị thu phát vô tuyến,ae03f513-6763-46f8-913d-91a103966947,,Thiết bị thu phát vô tuyến,Ritron,,7f40beb2-5d47-4f4a-b7df-35cd1cca56ae,d7faf284-1a3a-4e53-9433-8476900a66e7,,,1ce915ed-07e9-4b65-9209-2652ffd9b681,e43c5d4b-3c3c-4486-89da-73e9ac747ab4,Cabin - Đài KSKL TUY HÒA,"Ra soat 2026-07-11, file nguon: THA_DAW21",,,,,2026-07-11 09:50:09.894644+00,2026-07-17 01:20:13.233503+00,ceeef1ba-894d-4e04-9fb3-6efefba20836,,e96be350-6615-441a-91f5-53ad976e91b3,THIẾT BỊ QUAN TRẮC THÔNG DỤNG,DTXM-460-O,,,e43c5d4b-3c3c-4486-89da-73e9ac747ab4,,Truyền dẫn,THA,,,,,,,,,,,,,,,,,,,,,,,san_sang,,f024c88e-8702-49c8-a302-15b93f6acb3c,,,,f,TB_THA_098,517578e4-2091-47dd-b2c1-e6d44dc9ce8c,{},KHONG,
ce49f1ed-ac39-4395-8a0a-591f05f4abf2,TB_FSZ9M838,Nguồn AC/DC,accf1740-4c18-4b9a-895f-59d85ba593b5,,Nguồn AC/DC,MeanWell,,7f40beb2-5d47-4f4a-b7df-35cd1cca56ae,d7faf284-1a3a-4e53-9433-8476900a66e7,,,1ce915ed-07e9-4b65-9209-2652ffd9b681,e43c5d4b-3c3c-4486-89da-73e9ac747ab4,Trạm khí tượng giữa (cột AW11),"Ra soat 2026-07-11, file nguon: THA_DAW21",,,,,2026-07-11 09:50:09.894644+00,2026-07-17 01:20:13.233503+00,0e8dbaf8-aa3e-4d9d-bab2-99b08381f6f9,,e96be350-6615-441a-91f5-53ad976e91b3,THIẾT BỊ QUAN TRẮC THÔNG DỤNG,DRC-60B,,,e43c5d4b-3c3c-4486-89da-73e9ac747ab4,,Thiết bị nguồn,THA,,,,,,,,,,,,,,,,,,,,,,,san_sang,,f024c88e-8702-49c8-a302-15b93f6acb3c,,,,f,TB_THA_099,5a9b0333-a084-4240-96ab-bd5db912930c,{},KHONG,
