model_tai_lieu	sandbox_exec	INSERT,SELECT
nhan_vien	sandbox_exec	INSERT,SELECT
nhat_ky_he_thong	sandbox_exec	INSERT,SELECT
nhiem_vu_nhap_lieu	sandbox_exec	INSERT,SELECT
node_note	sandbox_exec	INSERT,SELECT
notifications	sandbox_exec	INSERT,SELECT
ocr_artifact	sandbox_exec	INSERT,SELECT
ocr_runtime_profile_stats	sandbox_exec	INSERT,SELECT
phan_mem_ban_quyen	sandbox_exec	INSERT,SELECT
phan_mem_ban_quyen_cap_phat	sandbox_exec	INSERT,SELECT
phan_mem_ban_quyen_tep	sandbox_exec	INSERT,SELECT
pitch_scopes	sandbox_exec	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
pitches	sandbox_exec	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
pm_cong_viec	sandbox_exec	INSERT,SELECT
profiles	sandbox_exec	INSERT,SELECT
project_dossiers	sandbox_exec	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
r2_access_log	sandbox_exec	INSERT,SELECT
r2_cau_hinh	sandbox_exec	INSERT,SELECT
r2_file	sandbox_exec	INSERT,SELECT
role_permission	sandbox_exec	INSERT,SELECT
search_index	sandbox_exec	INSERT,SELECT
so_do_he_thong	sandbox_exec	INSERT,SELECT
so_do_tep_dinh_kem	sandbox_exec	INSERT,SELECT
so_do_thu_vien_hinh	sandbox_exec	INSERT,SELECT
su_co	sandbox_exec	INSERT,SELECT
su_co_lich_su	sandbox_exec	INSERT,SELECT
supabase_ngoai	sandbox_exec	INSERT,SELECT
supabase_ngoai_job	sandbox_exec	INSERT,SELECT
supabase_ngoai_job_bang	sandbox_exec	INSERT,SELECT
system_signing_key	sandbox_exec	INSERT,SELECT
tai_lieu_ocr	sandbox_exec	INSERT,SELECT
tai_lieu_ocr_link	sandbox_exec	INSERT,SELECT
telegram_da_gui	sandbox_exec	INSERT,SELECT
telegram_subscriber	sandbox_exec	INSERT,SELECT
thiet_bi	sandbox_exec	INSERT,SELECT
thiet_bi_cap_phat	sandbox_exec	INSERT,SELECT
thiet_bi_do_dac	sandbox_exec	INSERT,SELECT
thiet_bi_he_thong_tuong_thich	sandbox_exec	INSERT,SELECT
thiet_bi_ket_noi	sandbox_exec	INSERT,SELECT
thiet_bi_khe_linh_kien	sandbox_exec	INSERT,SELECT
thiet_bi_tep_dinh_kem	sandbox_exec	INSERT,SELECT
thiet_bi_vong_doi	sandbox_exec	INSERT,SELECT
thong_bao	sandbox_exec	INSERT,SELECT
thong_bao_cau_hinh	sandbox_exec	INSERT,SELECT
thong_bao_email_queue	sandbox_exec	INSERT,SELECT
ticket_comment	sandbox_exec	INSERT,SELECT
tickets	sandbox_exec	INSERT,SELECT
user_layout_prefs	sandbox_exec	INSERT,SELECT
user_pinned	sandbox_exec	INSERT,SELECT
user_recent	sandbox_exec	INSERT,SELECT
user_roles	sandbox_exec	INSERT,SELECT
user_scope	sandbox_exec	INSERT,SELECT
v_canh_bao_nien_han	sandbox_exec	INSERT,SELECT
v_canh_dieu_huong	sandbox_exec	INSERT,SELECT
v_do_thi_he_thong	sandbox_exec	INSERT,SELECT
v_do_thi_toan_canh	sandbox_exec	INSERT,SELECT
v_giay_phep	sandbox_exec	INSERT,SELECT
v_he_thong_ky_thuat_summary	sandbox_exec	INSERT,SELECT
v_kpi_bao_tri	sandbox_exec	INSERT,SELECT
v_lien_ket_tu_khe	sandbox_exec	INSERT,SELECT
v_ly_lich_he_thong	sandbox_exec	INSERT,SELECT
v_ly_lich_khe_linh_kien	sandbox_exec	INSERT,SELECT
v_ly_lich_thanh_phan	sandbox_exec	INSERT,SELECT
v_ly_lich_thiet_bi	sandbox_exec	INSERT,SELECT
v_ly_lich_vi_tri_chuc_nang	sandbox_exec	INSERT,SELECT
v_menu_badges	sandbox_exec	INSERT,SELECT
v_metric_timeseries	sandbox_exec	INSERT,SELECT
v_nsx_stats	sandbox_exec	INSERT,SELECT
v_sap_het_han	sandbox_exec	INSERT,SELECT
v_tai_san_toan_cuc	sandbox_exec	INSERT,SELECT
v_thanh_phan_toan_cuc	sandbox_exec	INSERT,SELECT
v_thiet_bi_dac_tinh	sandbox_exec	INSERT,SELECT
v_thiet_bi_ket_noi	sandbox_exec	INSERT,SELECT
v_ton_kho	sandbox_exec	INSERT,SELECT
v_ton_kho_canh_bao	sandbox_exec	INSERT,SELECT
v_van_de	sandbox_exec	INSERT,SELECT
van_de	sandbox_exec	INSERT,SELECT
vat_tu	sandbox_exec	INSERT,SELECT
vi_tri_media	sandbox_exec	INSERT,SELECT
view_ton_kho_model	sandbox_exec	INSERT,SELECT
webauthn_credentials	sandbox_exec	INSERT,SELECT
weekly_report_import	sandbox_exec	INSERT,SELECT
